id,name,contact,website,phone1,phone2,fax1,email,address1,address2,city,state,zip,source,broker_notes,update_date,listingAgentId
6750188,"""Boston and Beyond Realty""",,,617-254-0065,,617-340-6333,admin@bostonandbeyondrealty.com,"""484B Centre St""",,"""Jamaica Plain""",MA,02130,"YGL Network","""20% referral fee to Boston and Beyond Realty unless listed as co-broke  Please send one pdf for applications in order: application, photo id/student id, two recent paystubs/offer letter, credit report w/ score, cosigner application, cosigner photo id, credit report w/ score. If multiple applicants, please stack the applications the same way. Only run cosigner credit if student.""",04/10/2019,
6750245,"""Bay State Residential Properties LLC""",,,774.628.6206,,,josh@baystateresidentialproperties.com,"""29 Denby Road #207""",,"""Allston""",MA,02134,"YGL Network",,03/12/2019,
6750486,"""Samantha Lu""",,,5106667454,,,slwebm@gmail.com,,,"""Boston""",MA,,"YGL Network",,10/12/2018,
6750766,"""1440 Beacon""",,,6177381400,,,1440beacon@samuelsre.com,"""1440 Beacon Street""",,"""Brookline""",MA,02446,"YGL Network","""Call or email to set up a tour of the apartment. *Leasing Hours:  Mon - Fri 9:30am - 5:30pm  Saturday 10:30am - 4:30pm Sunday Closed  Call (617) 738-1400 or email 1440beacon@samuelsre.com for a tour.""",04/12/2019,
6751045,"""Samuels and Associates""",,,6178423370,,,1330boylston@samuelsure.com,"""1330 Boylston Street""",,"""Boston""",MA,02215,"YGL Network","""*Monthly Rental rates vary depending on the length of the lease agreement and move-in date. Rental Rates change daily, while we do our best to keep YGL 100% up to date please check our website or call to verify pricing. We offer 6-15-month lease terms. All rents include gas, water, sewer and trash. Parking is $325 per month for our underground garage. Pet friendly building (Cats $50/month, Dog $100/month).""",04/12/2019,
6751302,"""Samuels & Associates""",,,6173344418,,,kle@samuelsre.com,"""180 Brookline Ave""",,"""Boston""",MA,02169,"YGL Network",,04/12/2019,
6751568,"""Real Living Barbera Associates""",,,7813253020,,,johnhavican@yahoo.com,"""20 Gage Street""",,"""METHUEN""",MA,01844,"YGL Network",,04/12/2019,
6751840,"""luum properties""",,,6175049625,,,propertymanager701@gmail.com,"""701 broadway street""",,"""revere""",MA,,"YGL Network",,04/12/2019,
6752100,"""iDeal Realty""",,,6176917276,,,vitalinab@lbcboston.com,"""3 Cottage Ave""",,"""Quincy""",MA,02169,"YGL Network",,10/16/2018,
6752365,"""Samuels & Associates""",,,5088473773,,,emortell@samuelsre.com,"""219 Western Ave""",,"""Allston""",MA,02134,"YGL Network",,04/12/2019,
6752740,"""Andrea Depatie""",,,6178182387,,,amdepatie@gmail.com,,,"""Boston""",MA,02128,"YGL Network",,04/12/2019,
6752927,"""Davis Properties LLC""",,,617-697-5590,,,bdavis0003@aol.com,,,"""Everett""",MA,02149,"YGL Network",,04/12/2019,
6753053,"""Investments Limited""",,,"(617) 547-0026",,,anzor@investmentslimited.com,"""2380 Massachusetts Ave""",,"""Cambridge""",MA,02140,"YGL Network",,04/12/2019,
6753341,"""AT HOME REALTY INC""",,,617-738-1820,,617-738-8754,mark@athomere.com,"""1212B Commonwealth Ave.""",,"""Allston""",MA,02134,"YGL Network",,04/12/2019,
6753514,"""Mark Roderick""",,,1-617-230-3674,,,markmyrealtor@yahoo.com,"""70 Highland Ave""","""1""","""Somerville""",MA,02143,"YGL Network","""Call / Text: Mark at 617-230-3674""",04/12/2019,
6753587,"""The Mount Vernon Company""",,,617-267-0006,,,leasing@mvernon.com,"""29 Commonwealth Ave.""","""6th Floor""","""Boston""",MA,02116,"YGL Network","""Professionally managed, 24/7 maintenance. All applications and questions can be emailed to leasing@mvernon.com. Please see our documents section on YGL for the Mount Vernon Company rental application and addenda.""",04/12/2019,
6753675,"""Truesdale Realty""",,,508-728-9023,,,kate@truesdalerealty.com,"""59 Chapel St""",,"""Newton""",MA,02458,"YGL Network",,03/22/2019,
6753926,"""wendy wang""",,,6179595368,,,wendywang8713@gmail.com,,,"""newton""",MA,02465,"YGL Network",,04/12/2019,
6754220,"""Chubb Realty Group at EXP""",,http://www.boston2.com,6177217081,,,Ryan@boston2.com,"""1266 Furnace Brook Pkwy""","""410""","""Quincy""",MA,02169,"YGL Network",,03/06/2019,
6755007,"""Church Realty""",,,6177827740,,,church.realty23@gmail.com,"""p. o. box#364  Allston""",,"""boston""",MA,02134,"YGL Network",,04/10/2019,
6755051,"""MP Signature Realty LLC""",,,781-322-6928,,781-397-1695,rng@mpsignaturerealty.com,"""485 Lynn St""",,"""Malden""",MA,02148,"YGL Network",,03/11/2019,
6755138,"""Jack Gately Real Estate""",,,"617 903 7878",,,rentals@jackgately.com,"""745 Atlantic Avenue""",,"""Boston""",MA,02111,"YGL Network","""Contact rentals@jackgately.com   Rental fee equal to one month rent payable by tenant, equally divided with cooperating broker. No zero invoice allowed. First, last and fee.  Standard GBREB application, official traditional credit report, pay stubs or offer letter, sent as a PDF to rentals@jackgately.com  DO NOT text or call.""",04/12/2019,
6755909,"""Miranda Ha""",,,8572077055,,,pupu830@gmail.com,,,"""Boston""",MA,,"YGL Network",,11/02/2018,
6756163,"""Leopold & McMasters Realty""",,http://www.leopoldmcmastersrealty.com,617-208-8020,,617-208-8026,homes@lmcrealtyboston.com,"""244 Brighton Ave Suite 106""",,"""Allston""",MA,02134,"YGL Network",,04/12/2019,
6756436,"""Streamline property management""",,,978-821-2404,,,sete99@comcast.net,,,"""tewksbury""",MA,01876,"YGL Network",,04/12/2019,
6756675,"""SelectRE Boston, LLC""",,,6177776109,,,dotoole@sreboston.com,"""295 east Street""",,"""Hingham""",MA,02043,"YGL Network",,04/12/2019,
6756939,"""NextStep Properties""",,http://www.nextstepprop.com,617-794-5447,,,manager@nextstepprop.com,"""376 Washington Street""",,"""Malden""",MA,02148,"YGL Network",,11/07/2018,
6757003,"""Bill Singleton Jr.""",,,"(617) 461 0077 or 617 821 9475",,,bill.single@gmail.com,"""88 Hammond St""",,"""Boston""",MA,02120,"YGL Network","""Please call  texts or email the tenants or  landlord just be for you use the lock box for showing.We have had problems with agent making sure that the key go back in the box and are firmly locked. So it is important that you email me your information before using the lock box. I will give you the code for showing  PLEASE NOTE: Additional Roommate will add a $200 per to the rent so if it is $3600 for 3 and you add a fourth person it is $3800.""",04/12/2019,
6757203,"""Perpetual Real Estate""",,http://www.perpetualre.com,000-000-0000,,,tm@perpetualre.com,"""659 Massachusetts Ave""",,"""Boston""",MA,02120,"YGL Network","""Please click Perpetual Real Estate on YGL and go to landlord documents.  There are uploaded documents called listing instructions that will outline everything you need to know for showing and renting the apartments.  There is also a tenant contact log with tenant contact info.  Please be courteous and give 24hour notice.""",04/10/2019,
6757412,"""Cynthia Bell""",,,617-522-3069,,,bellartsdesign@yahoo.com,"""11 Grovenor Road""",,"""Boston""",MA,02130,"YGL Network",,04/12/2019,
6757670,"""kurt johnson""",,,508-826-5799,,,kurtdjohnson1@gmail.com,"""5 Seward St""",,"""Worcester""",MA,01604,"YGL Network",,04/12/2019,
6758382,"""Kristina Makoci""",,,9782233239,,,KMakociRE@gmail.com,"""120 Boston Street""",,"""Salem""",MA,01970,"YGL Network",,11/13/2018,
6773428,"""Savage Properties LLC""",,,"(617) 713-4444",,"(617) 713-4454",ch@savageproperties.net,"""1607 Tremont Street""",,"""Boston""",MA,02120,"YGL Network","""Showing instructions You must be registered to reserve keys and receive email updates. http://savageproperties.net/agent-registration-form/ Same day showings must be called into the office before 11am (earliest possible same day showing is 12pm). Next day showings must be called into the office by 6:30pm (earliest possible next day showing is 10am) Weekend showings should be called in on Friday by 6:30pm. Keys must be returned within 3 hours of your showing time. If you show up more than 1 hour late for your showing your reserved keys go back into circulation and you are not guaranteed to have all the keys you reserved.""",04/10/2019,
6773429,"""The Blakely Group""",,,"(617) 278-1551",,"(617) 278-9697",office@theblakelygroup.com,"""68 Harvard St.""",,"""Brookline""",MA,02445,"YGL Network","""Maintenance: Contact Zack or Debbie, office@theblakelygroup.com""",04/10/2019,
6773430,"""Mediate Management Company""",,http://www.mediatemanagement.com,617-316-3300,617-316-3300,"(617) 316-3366",ClientServices@mediatemanagement.com,"""4 Bunker Hill Industrial Park""",,"""Boston""",MA,02129,"YGL Network","""First Month's Rent, Last Month's Rent and Security Deposit due at signing. 25% commission split with Mediate. .""",04/10/2019,
6773431,"""Matt Brockman""",,,"(617) 942-1211",,,matt@mattbrockman.com,"""700 Harrison Avenue Unit 203""",,"""Boston""",MA,02129,"YGL Network",,04/10/2019,
6773432,"""James Court""",,,"(617) 369-9400",,"(617) 369-9402",amb@fultonproperties.com,"""45 E. Newton Street""",,"""Boston""",MA,02118,"YGL Network","""Contact:617-369-9400""",04/12/2019,
6773433,"""Clarendon Residences""",,,"(617) 585-5448","(617) 585-5447","(617) 585-5497",140clarendon@maloneyproperties.com,"""140 Clarendon St.""",,"""Boston""",MA,02116,"YGL Network","""Available to show!!! Please Contact Property Management    617-585-5690 | www.140clarendon.com | 140clarendon@maloneyproperties.com   Equal Opportunity Housing/ Handicapped Accessible Building   â€¢Do NOT contact me with unsolicited services or offers """,04/12/2019,
6773434,"""Peabody Properties (Braintree)""",,,978-927-9117,,,millery@peabodyproperties.com,"""536 Granite St.""",,"""Braintree""",MA,02184,"YGL Network","""-""",04/12/2019,
6773435,"""Cloverleaf Apartments""",,,"(508) 650-9050",,"(508) 650-9550",leasing@cloverleafapts.com,"""325 Speen St.""",,"""Natick""",MA,01760,"YGL Network","""-""",04/12/2019,
6773436,"""Red Tree Real Estate""",,,"(617) 694-7356",,,adam.kotkin@hotmail.com,"""12 Sewall Ave""",,"""Brookline""",MA,02446,"YGL Network","""Please give some notice. I have keys and will meet you at property. Email Adam Kotkin at  adam.kotkin@hotmail.com Collect fee from tenant. Very easy to deal with. Just bring me good clients that have been pre-screened.""",04/12/2019,
6773437,"""Paul Foti""",,,"(617) 828-3001",,,pfoti24@yahoo.com,"""16 muirfield circle""",,"""andover""",MA,01810,"YGL Network","""Half months security willing to pay some of  Boker fee""",04/12/2019,
6773438,"""Douglas Woodbury""",,,"(781) 289-2573","781 910-4980",,beachmontre@comcast.net,"""186 Crest Ave.""",,"""Revere""",MA,02151,"YGL Network","""-""",04/12/2019,
6773439,"""Rupali Lach""",,,"(857) 488-9099",,,rupali.lach@gmail.com,"""601 Mallory Ln.""",,"""Durham""",MA,27713,"YGL Network","""-""",04/12/2019,
6773440,"""Parker Hill Apartment""",,,"(617) 734-7830",,,parker@hmrproperties.com,"""170 Parker Hill Ave.""","""#7""","""Boston""",MA,02120,"YGL Network",,04/12/2019,
6773441,"""Braintree Village""",,,"(781) 848-2585",,,braintreevillage@peabodyproperties.com,"""2 McCusker Dr.""",,"""Braintree""",MA,02184,"YGL Network","""Flat Broker Referral $500""",04/12/2019,
6773442,"""Popular Properties Realty, Inc.""",,,6172360073,617-236-0073,"<a href=""tel:6172491958"">61724",bostonmgt@gmail.com,"""800 Boylston street""","""16 floor""","""Boston""",MA,02199,"YGL Network",,04/12/2019,
6773443,"""Sparhawk Management""",,,"(617) 905-9476",,,SparhawkManagement@gmail.com,"""P.O. Box 78""",,"""Allston""",MA,02134,"YGL Network","""Key is the Charlie Abel master. Borrow from Preview Properties @ 1694 Comm. Ave. They also have keys to the bedrooms!! Call Andy @ 617-905-9476 with any questions, problems, or feedback.""",04/12/2019,
6773444,"""Charles River Condominiums""",,,617-217-8460,781-863-0318,617-812-0092,ahad@charlesrivercondos.com,"""12 Wheeler Rd""",,"""Lexington""",MA,02420,"YGL Network","""* NO PETS ALLOWED! * Lock Box in Place at all properties. Call for Combination. All Combinations Are Different. * Please Provide Occupied Unit Tenants 24-Hour Notice. * First & Last Months Rent Required at Lease Signing (don't deduct fee). Security Deposit Instead of Last Month at Jay Street and Melrose Properties. * Please Remember To Place Keys Back Into Lock Box After Showing Is Complete. * When Preparing Lease for Units at Hancock Street or Magazine Street, Please Have Tenants Sign Addendum As Well. For All Other Properties, Please Contact Us.""",04/12/2019,
6773445,"""Mike Polacco""",,,"(617) 642-2001",,,mpolacco@aol.com,,,,MA,,"YGL Network","""Keys On Polacco Master also go to polaccorentals.com""",04/12/2019,
6773446,"""AT Agency""",,,"(781) 267-1912",,,help@atagency.com,"""64 Woodstock Ave.""","""2""","""Brighton""",MA,02135,"YGL Network",,04/12/2019,
6773447,"""Sixty Nine Gainsbrough""",,,"(617) 266-3232",,,info@69gainsboroughrealty.com,"""69 Gainsborough St.""","""Suite 2""","""Boston""",MA,02115,"YGL Network",,04/12/2019,
6773448,"""Zoe Realty Trust""",,zoerealtytrust.com,9173229331,6179098869,"(845) 679-6989",dashuah@gmail.com,"""435 Hanover St.""",,"""Boston""",MA,02113,"YGL Network","""to access our key for showings,  please email me to zoerealtytrust@gmail.com   or call my super Donai at 6178200433.  PLease make sure to notify tenants 24 hours prior.  Please note that we do not collect last month rent nor do we ask for security deposit.  only  first month is required, and co signer incase the tenants are students. The tenant only have to come up with one month to rent the unit first come first serve.      Once again ; (i do not take last month and no security deposit.  Only first month is required at signing.  rent is on auto withdrawal ACH. Will consider best offer. One year lease minimum. Pets ok)""",04/12/2019,
6773449,"""Amy B. Middleton""",,,"(781) 956-7869",,"(617) 864-8093",abmadventures@yahoo.com,"""2595 Massachusetts Ave.""","""Suite 9""","""Cambridge""",MA,02140,"YGL Network","""Call me (Amy Middleton) any time at 781-956-7869 if you have any questions.""",04/12/2019,
6773450,"""Isalia Property Group""",,www.isaliaproperty.com,"(617) 299-1075",,"(617) 752-3654",leasing@isaliaproperty.com,"""305 Dudley St""",,"""Roxbury""",MA,02119,"YGL Network","""IMPORTANT Agents/Brokers please read our leasing process: http://bit.ly/AgentProcess""",04/10/2019,
6773451,"""Elizabeth Cotter""",,,"(617) 899-5277",,,cotter.e@gmail.com,"""218 Newbury Street""",,"""Boston""",MA,02116,"YGL Network",,04/12/2019,
6773452,"""Red Door Real Estate""",,,"(617) 553-1880","(617) 894-1124","(617) 553-1660",realtor@ma-homesforsale.com,"""222 Sea St.""",,"""Quincy""",MA,02169,"YGL Network","""-""",04/12/2019,
6773453,"""Parkside Place""",,,"(617) 876-7979",,,parksideplace@frmboston.com,"""700 Huron Ave.""",,"""Cambridge""",MA,02138,"YGL Network",,04/12/2019,
6773454,"""Bennet Lavine""",,,"(781) 856-6261",,,blavine@comcast.net,"""XX XXXX XXXX""",,"""Needham""",MA,02494,"YGL Network","""To show call owner, Bennett Lavine @ 781-856-6261. You may also try to set it up with one of the tenants who can be reached as follows: Tenant numbers: Taylor Pedderson: 832-275-3481 Kimberly Mcquire: 774-634-1100  """,04/12/2019,
6773455,"""Campus Property Management""",,,"(978) 258-0599",,,markthayer@icloud.com,"""P.O. Box 581""",,"""North Andover""",MA,01845,"YGL Network","""Landlord Notes  *** Please use email as much as possible to reach me. I really do respond quickly!! markthayer@hotmail.com In case of an urgent matter, call 978 258 0599.""",04/12/2019,
6773456,"""Sassmorr Realty Group""",,,617-799-3644,,"(617) 442-8578",,"""14 Beacon St.""","""Suite 803A""","""Boston""",MA,02108,"YGL Network","""PLEASE CALL ANNE SASSER 617-799-3644 FOR QUESTIONS & TO SET APPOINTMENTS. No smoking & NO PETS. We also have Furnished Rentals with flexible dates in various parts of the city. This is a CO-BROKE half FEE TO SASSMORR REALTY only if rented for at least 6 months.""",04/12/2019,
6773457,"""Nancy Capron""",,,"(860) 978-4504",,,nlt88813@yahoo.com,"""790 Boylston St.""",,"""Boston""",MA,02199,"YGL Network","""Property will now be managed by Ascend Realty Group.  Landlord and Ascend want to interview potential tenants and prefers first, last and security, but last month's rent can be negotiable.  Please use attached Rules Addendum to complete lease paperwork.  Landlord requires W-4 to be completed for tenant that has a Bank of America account PRIOR to lease approval and acceptance of security deposit.""",04/12/2019,
6773458,"""Julian Jung""",,,"(857) 373-9097",,,julianmjung@gmail.com,"""8 Carmel St.""",,"""Boston""",MA,02120,"YGL Network",,04/12/2019,
6773459,"""Martha Adkins-Vargas""",,,"(617) 797-7316",,,mvargas_velasco@yahoo.com,"""29 Thornley St.""",,"""Boston""",MA,02125,"YGL Network","""First, Last and Security Required""",04/12/2019,
6773460,"""P & P Realty""",,,"(617) 297-2111",,,prestidgeproperties@gmail.com,"""P.O. Box 990504""",,"""Boston""",MA,02199,"YGL Network",,04/12/2019,
6773461,"""Lucas Baran""",,,"(617) 860-3667",,,figers@gmail.com,"""448 Park Dr.""","""#18""","""Boston""",MA,02215,"YGL Network","""Need first last and security Need notarized guarantor forms from all students""",04/12/2019,
6773462,"""Fidel Jones""",,,"(617) 792-8220",,,lantinzeal@yahoo.com,"""1 Sussex St.""",,"""Boston""",MA,02120,"YGL Network",,04/12/2019,
6773463,"""Metro Boston Group""",,,"(617) 407-5390",,"(617) 732-1500",MetroBostonGroup@gmail.com,"""231 Harvard Ave.""",,"""Allston""",MA,02134,"YGL Network","""All apartment have attached parking available $125-$175, rate negotiable.   Please call Richard Kim at (617) 407-5390 with ALL OFFERS, any questions, if keys are not available, or to set an appointment to take pictures.  Showing instruction: Keys Available  at Harvard Ave. Realty, Gateway Real Estate, Boston's Best Realty, Proper Realty Group  Call all tenants 24 hours in advance please.  For Move In: First, Last, Security.  For Leases :  Lessor: Metro Boston Group Use Metro Boston Group Addendum with all deals.""",04/12/2019,
6773464,"""Luning Han""",,,"(617) 480-3466",,,luninghan@yahoo.com,"""9 Linden St.""","""Unit B""","""Allston""",MA,02134,"YGL Network","""For notification, you can call tenants phone numbers: 203-952-1223; 774-573-0172; 603-630-0895; 804-502-4110""",04/12/2019,
6773465,"""George Gianarikas""",,,"(617) 990-6878",,,gianarikas@gmail.com,"""P.O. Box 320592""",,"""West Roxbury""",MA,02132,"YGL Network",,04/12/2019,
6773466,"""S&B Property Management, LLC""",,,"(781) 504-7632",,,info@sbpropertymanagement.net,"""130 Goodale St.""",,"""Peabody""",MA,01960,"YGL Network",,04/12/2019,
6773467,"""Michael Nader""",,,"(781) 424 3602",,,MikeRemaxMetro@gmail.com,"""263 Newbury Street""",,"""Boston""",MA,02116,"YGL Network","""1st, Last, 1/2 security, Fee to be split 50/50""",04/12/2019,
6773468,"""Accedo Properties""",,,6174131008,,,accedopro@gmail.com,"""12 morse st""",,"""Woburn""",MA,01801,"YGL Network","""Deposit requirement: First, Last and Half Security, Credit score > 700. Income requirement: Monthly income is 2.5X times rent""",04/12/2019,
6773469,"""Mill Falls Apartments""",,,"(978) 683-0092",,,sgibbs@hmrproperties.com,"""51 Osgood St.""",,"""Methuen""",MA,01844,"YGL Network",,04/12/2019,
6773470,"""Berkshire Property Advisors""",,,"(617) 887-1700",,"(617) 884-3997",Jeffersonatadmiralshillleasing@bpadv.com,"""325 Commandants Way""",,"""Chelsea""",MA,02150,"YGL Network",,04/12/2019,
6773471,"""Coldwell Banker Boston""",,,"(617) 365-1151",,,franklinknotts@aol.com,"""66 Beacon Street""",,"""Boston""",MA,02108,"YGL Network","""Freshly Painted and all new ceramic tiles and kitchen and bathroom floors.""",03/17/2019,
6773472,"""Jeffrey Toll""",,,617-694-1912,,617-244-1503,jtollj@aol.com,"""P.O. Box 67302""",,"""Chestnut Hill""",MA,02467,"YGL Network",,04/10/2019,
6773473,"""Tony Barila""",,,508-958-3563,,,tbarila@gmail.com,,,"""Marlborough""",MA,,"YGL Network",,04/12/2019,
6773474,"""Amy Lowell Apartments""",,,"(617) 742-0222",,"(617) 227-6032",bwilliams@hallkeen.com,"""65 Martha Road""",,"""Boston""",MA,02114,"YGL Network",""" Please contact the office at 617-742-0222 or email bwilliams@hallkeen.com to schedule all showings!""",04/12/2019,
6773475,"""The Coolidge School Apartments""",,,"(617) 924-0370",,,coolidgeschool@hallkeen.com,"""319 Arlington St.""",,"""Watertown""",MA,02472,"YGL Network",,04/12/2019,
6773476,"""Emre Oztunc""",,,"(774) 222-3422",,,eoztunc@gmail.com,,,"""East Taunton""",MA,02718,"YGL Network","""Call Emre  774.222.3422""",04/12/2019,
6773477,"""Peter Kasseris""",,,"(781) 910-2271",,,nbkasseris@verizon.net,"""53 Ridge St.""",,"""Winchester""",MA,01890,"YGL Network",,04/12/2019,
6773478,"""Edgewater Properties, LLC""",,,7817624323,,,amenta@epllc.net,"""14 Mica Lane""","""202""","""Wellesley""",MA,02481,"YGL Network","""First month's rent deposit and all paperwork (rental application, credit report, guarantor form and/or proof of employment) required to take the apartment off the market.  First month's rent, security deposit and last month's rent due in 30 day increments.  All students must provide a qualified guarantor.  Applications should be emailed to kmoulison@epllc.net""",04/12/2019,
6773479,"""Maceo Remy""",,,"(617) 785-7026",,,mremy@circleenergy.com,"""5 Warwick St.""",,"""Boston""",MA,02120,"YGL Network",,04/12/2019,
6773480,"""BEAR Management""",,,617-775-0007,,,benjamingersten@gmail.com,"""35 Magee Street""",,"""Cambridge""",MA,02139,"YGL Network","""LL pays the fee. First, Last, Security negotiable for applicants with good credit and references .  Cats welcome The identical unit on the 3rd fl.  1st floor also available and a dog with excellent references would be considered for the 1st floor only.  This 3BR apartment offers an easy/open floor plan, eat-in kitchen, comfortable BRs, lots of natural light, big windows, high ceilings. HW floors, extra storage and a shared backyard great   Porches: In addition to sunny front porch there is a back porch off the kitchen (perfect for morning coffee and summer evenings) overlooking yard for summer barbecues ! Energy efficient gas heating system, Laundry free,  3 minutes walk to Public transportation.   Well maintained, Professionally managed, Clean On street parking plenty of spaces. This residential neighborhood is diverse and friendly. Next to a park & plenty of trees around.  Please email times that you are available to see the apartment and any special considerations or circumstances.  Rent does not include utilities. Rent for up to 3 people. Building:3 units in the building with very friendly neighbors!  Cats OK   Moments to Mission Hill, Symphony, Back Bay, Chinatown, Downtown, Northeastern, MCPH, NEC, Longwood Medical, plus many restaurants and nightlife""",04/10/2019,
6773481,"""S&S Consultants""",,,"(781) 863-0318",,,syed@alum.mit.edu,"""12 Wheeler Rd.""",,"""Cambridge""",MA,02138,"YGL Network",,04/12/2019,
6773482,"""Steve Gladstone""",,,"(617) 592-0018",,,wbtc.assoc@gmail.com,"""300 Independence Dr.""",,"""Chestnut Hill""",MA,02467,"YGL Network",,04/10/2019,
6773483,"""Fulton Properties""",,,"(617) 742-6640",,,rlr@fultonproperties.com,"""45 E. Newton St.""",,"""Boston""",MA,02118,"YGL Network",,04/12/2019,
6773484,"""Tansu Demirbilek""",,,"(978) 219-9838",,,tansudemir@gmail.com,"""19 MacArthur Rd.""",,"""North Reading""",MA,01864,"YGL Network","""Local landlord""",04/12/2019,
6773485,"""Robin Heffernan""",,,"(617) 599-8014",,,robinaheffernan@gmail.com,"""20 Leach Ln.""",,"""Natick""",MA,01760,"YGL Network","""View more photos and full description at: zillow.com rental 2 Front St. Natick, MA  """,04/12/2019,
6773486,"""Benoit Mizner Simon & Co., LLC""",,,"(617) 817-3827",,,jaredwilk@benoitmiznersimon.com,"""54 Central St.""",,"""Wellesley""",MA,02482,"YGL Network",,04/12/2019,
6773487,"""Ilya Pokidov""",,,"(617) 470-3825",,,ipokidov@hotmail.com,"""37 Riverside Dr.""",,"""North Reading""",MA,01864,"YGL Network","""Already rented""",04/12/2019,
6773488,"""Coldwell Banker Brookline""",,,"(857) 636-8425",,,zaydegirl@gmail.com,"""1375 Beacon St.""",,"""Brookline""",MA,02446,"YGL Network",,04/12/2019,
6773489,"""VOX on two""",,,"(617) 441-8700",,,voxmkt@windsorcommunities.com,"""223 Concord Turnpike""",,"""Cambridge""",MA,02140,"YGL Network","""BROKER COMMISSIONS: VOX is currently offering a $1,000 commission for studios, $1,500 for 1-bedrooms and $2,000 for 2-bedrooms if your client moves in by November 15th. They must sign a 12-month lease. If you get 5 rentals in 1 month at VOX, we will increase the commission by $500 for rentals 6 .""",04/12/2019,
6773490,"""Joanna Kleinschmidt""",,,"(978) 761-0999",,,kleinline@gmail.com,"""39 Farmland Rd.""",,"""Lowell""",MA,01850,"YGL Network",,04/12/2019,
6773491,"""Carson Tower""",,,"(617) 268-4821",,,leasing@carsontower-apts.com,,,"""Boston""",MA,02127,"YGL Network","""Our leasing office is open six days week for your convenience. Our hours are 9AM-6PM Monday, Tuesday, Thursday and Friday, 11AM-6PM Wednesday, and 9AM-4PM on Saturday. Please call us at 617-268-4821 or email us at leasing@carsontower-apts.com to schedule a showing.  Pricing and availability is subject to change.  Please visit www.carsontower-apts.com for our most up-to-date pricing and availability.""",04/12/2019,
6773492,"""Nina""",,,"(617) 875-9791",,,ncjob2005@yahoo.com,"""P.O. Box 590253""",,"""Newton""",MA,02459,"YGL Network",,04/12/2019,
6773493,"""Nicholas Moisakis""",,,"(617) 233-7757",,,moisakis@earthlink.net,"""1 Wilson Farm Rd.""",,"""Westford""",MA,01886,"YGL Network",,04/12/2019,
6773494,"""Church Park Apartments""",,,"(617) 437-7328",,,info@churchpark.com,"""221 Massachusetts Ave.""",,"""Boston""",MA,02115,"YGL Network",,04/12/2019,
6773495,"""Boston Realty Online""",,,"(617) 383-7501",,"(617) 752-3755",info@bostonrealtyonline.com,"""172 Harvard Street""",,"""Brookline""",MA,02446,"YGL Network",,01/05/2019,
6773496,"""Keliher Real Estate""",,,"(617) 388-4444",,,raucella@keliherrealestate.com,"""251 Newbury St.""",,"""Boston""",MA,02116,"YGL Network",,04/12/2019,
6773497,"""Gatehouse 75""",,,"(617) 936-0001",,,gatehouse75@bozzuto.com,"""75 West School St.""",,"""Charlestown""",MA,02129,"YGL Network",,04/12/2019,
6773498,"""LJR Properties, LLC""",,,"(617) 821-3795",,,bigleerose@yahoo.com,"""152 Woodley Ave.""",,"""West Roxbury""",MA,02132,"YGL Network","""Tenants are responsible for first month's rent and a security deposit equal to one month's rent. Graduate Students will also be required to pay the last month's rent prior to move in.  Other move in expenses include: Cable/Internet, telephone, electricity, gas, (stove only), and any Broker's fees.""",04/12/2019,
6773499,"""Rent Brooklyn""",,,"(347) 232-4132",,,katealevitt@gmail.com,"""133 Clarendon St.""",,"""Boston""",MA,02116,"YGL Network",,04/12/2019,
6773500,"""SCS Realty Group""",,,617-247-3554,,,scott@scsrealtygroup.com,"""1018 Beacon Street""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6773501,"""Union Crossing""",,,"(978) 683-3089",,,jcoa@yougotlistings.com,"""50 Island St.""","""Suite 201""","""Lawrence""",MA,01840,"YGL Network","""Jennifer Coa, Property Manager <BR>50 Island Street Suite 201 Lawrence, MA 01840 <BR>P: 978-683-3089 <BR>F: 978-683-3122 <BR>E: jcoa@frmboston.com""",04/12/2019,
6773502,"""The Victor / Simpson Property Group""",,,"(617) 742-9595",,6177429594,gabrielle.strahl@simpsonhousing.com,"""110 Beverly Street""",,"""Boston""",MA,02114,"YGL Network","""*up to 2 months free (upfront only) on select units *Offer 12 month lease terms *Furnished units through CORT Furniture available *Full month fee paid for 12 month lease terms""",04/12/2019,
6773503,"""Vasilios Lentis""",,,"(617) 642-2221",,,agiovasil@yahoo.com,,,"""Boston""",MA,02120,"YGL Network",,04/12/2019,
6773504,"""Haiyun Guo""",,,"(617) 251-8202",,,wanderingworld@hotmail.com,"""146 School St.""",,"""Waltham""",MA,02451,"YGL Network",,04/12/2019,
6773505,"""Daniel Stein""",,,"(617) 436-7676",,,danielstein@live.com,,,"""Boston""",MA,02125,"YGL Network",,04/12/2019,
6773506,"""Monaf Alyassi""",,,"(508) 498-08967",,,monafalyassi@yahoo.com,,,"""Boston""",MA,02108,"YGL Network",,04/12/2019,
6773507,"""Capstone Communities LLC""",,,"(617) 513-6320",,,jkorb@capstonecommunities.com,"""165 Amory St.""",,"""Cambridge""",MA,02139,"YGL Network",,04/12/2019,
6773508,"""Parkway Real Estate""",,,857-400-9098,,,marketing@parkwayrellc.com,"""2064 Centre Street""",,"""West Roxbury""",MA,02132,"YGL Network",,04/12/2019,
